dia;ativo3;ativo4;ativo11;ativo13;ativo14;ativo15;ativo16;ativo19;ativo20;ativo23;ativo24;ativo25;ativo28;ativo31;tivo33;ativo34;ativo37;ativo41;ativo42;ativo43;ativo50;ativo51;ativo55;ativo57;ativo64;ativo65;ativo66;ativo69;ativo71;ativo74;ativo76;ativo81;ativo82;ativo83;ativo84;ativo85;ativo86;ativo87;ativo89
1391;0.002078057;-0.017711129;-0.004642905;-0.002580616;-0.03101737;-0.015471167;-0.026510034;0.013433637;0.001000288;-0.015568592;-0.005055196;0.003330642;-0.019042123;0.000657881;0;0;-0.041133206;0;0.028618746;0;0.003968217;-0.006729035;-0.026331161;0.017417867;0;-0.002725988;0.001428619;-0.046471601;-0.039411;0.020833241;-0.041852182;0.015265442;-0.035067873;-0.038461479;0.009174356;0.017456359;0.000777579;0;0.022856878
1392;0.007497176;-0.067961165;-0.006817414;-0.034605476;-0.040973154;0;0.023784936;0.013785789;-0.006492187;-0.002979601;0.008256557;0.000829798;-0.041176529;-0.001314964;0;-0.003676468;0.00625;0;0.004032299;-0.112453532;-0.012845857;0;-0.003605821;0;0;-0.005922597;-0.009034759;0.036101083;-0.030658251;0.000224344;-0.028810409;-0.004358248;0.009378664;0.028799976;-0.005194805;-0.014705882;-0.040404091;0;0.018791364
1393;-0.004433163;-0.047619071;-0.000361221;-0.027805718;0.030262618;0.018571429;0.013467979;-0.031380804;0.000251382;-0.051724138;0.014173162;-0.02943605;0.01840497;0.029624817;0.003773585;0;0.012140034;0;0.013253012;0.021989529;0.008008106;0;-0.004825055;0;0;0.008249313;0.010076727;-0.026132404;-0.018604651;-0.007847556;-0.009569378;-0.004158437;-0.00116144;0.026438552;-0.003481288;-0.024875622;-0.020242916;0;-0.026919364
1394;0.001749383;0.039062526;0.009757907;0.010337689;0.017278575;0.075035063;0.028239236;0.002159773;0.002008416;0.006060606;-0.005590008;0.010252017;0.024096386;0.005754424;0;0.00221402;-0.007252441;0;0.018232303;0.050204918;0.014895632;0;0.042424223;0;0;0.020909045;0.019477436;-0.001788909;-0.019905213;0.039209017;0.051207729;-0.004395626;0.002325581;0;-0.016375546;0.025510204;0.013774105;0;-0.008708698
1395;-0.017145581;0.064661702;0.005726554;-0.021486967;0.002547856;-0.028701892;-0.01098546;-0.04364219;-0.011785441;-0.019277108;0.007495243;-0.010570885;0.011764765;-0.02415762;0;0.010309271;0.004776623;0;-0.000389295;-0.04195122;0.001957013;0;0;-0.016368823;0;0.00267146;0.004193849;0.012544803;0.000967118;-0.003805534;-0.021139706;-0.002207461;0.006960557;-0.020202024;-0.011986726;-0.009950249;-0.031249919;0;-0.003617561
1396;0.000969086;0.036723072;0.001779308;0.000348535;-0.010165184;0.037609134;0.009473995;-0.005633803;-0.001012952;-0.008353808;0.011779366;-0.023931552;-0.011627964;0;0.02481203;-0.012390661;0;0;-0.017523364;0.022403259;-0.003906213;0.011782038;0.013081433;0;0;0;0;-0.02300885;0;-0.003492763;0.030985915;0;-0.01843318;-0.016237133;-0.010334712;0;0;-0.061139896;0.018153475
1397;-0.025173458;0.020436012;-0.012788627;0.001742106;-0.002995379;-0.040776699;0.050161845;0;-0.010669927;-0.00024777;0.017156881;0.007005153;-0.004705882;0.011074891;0.004402054;0.014760137;0.009507795;0.025640972;-0.026952081;0.010956175;-0.009803913;-0.005822451;-0.010043037;0.008854928;0;-0.017317984;-0.014385105;-0.016304348;-0.024154589;0.004162114;-0.004553734;-0.055531016;-0.034037559;0.028294529;-0.020431283;0.022613065;0.012342159;0.065121413;0.00458461
1398;0.021188555;0.028037383;0.011155137;0.005217426;0.006437854;-0.018218623;0.008936856;-0.011331388;0.000513667;0.001239157;0.009638506;-0.010434771;-0.001773109;0.009664947;-0.022644266;-0.001454544;-0.003047057;-0.001020408;0.007332017;0.054187192;-0.000990218;0.003806767;0.039130444;0.024364363;0;0.010845098;0.011770245;0.003683241;0.024752475;0.008726015;0.036596523;0.000234294;-0.042527339;-0.02292993;0.01807643;0.061425061;0.00027703;0;-0.003042344
1399;0.005187269;-0.025973984;-0.006761613;-0.035986145;-0.014498933;-0.021993127;0.019853298;0.014326647;-0.027456081;-0.001485149;-0.014021457;-0.013180993;-0.039668445;-0.030631803;-0.001494768;-0.002184995;-0.006668519;-0.035240092;-0.037606187;-0.04953271;-0.00693754;-0.006709469;0.00669456;-0.020386997;0;-0.011175681;-0.013029362;0.00733945;-0.009661836;-0.02173443;0.019417476;-0.000936792;-0.013959391;0.007822658;-0.003869838;0.006944444;-0.038781082;0;0.012207198
1400;0.004676658;0.027999999;-0.013615185;-0.012562829;-0.003894461;-0.019676739;-0.006289278;-0.005649774;0.002637122;-0.000991572;0.025718655;0.006233285;0.017262701;-0.005924897;0.017215569;-0.006569338;0.001398566;-0.005293701;-0.003361345;0.007866273;-0.000997952;-0.001174763;0.018841767;-0.019001669;0;-0.007233363;0.000942999;-0.007285974;-0.014634146;0.009727037;-0.054545455;-0.017580872;0.015444015;-0.010349329;0.023766043;-0.033333333;-0.004899193;0;-0.019597892
